Name,ReleaseDate,Mpn,Edition,Collection,Classification,Category,AveragePrice,MedianPrice,Description
,,1423,,,,,,,
Air Force Blonde Barbie Doll,1994,11552,Special Edition,Stars & Stripes Barbie® Series,Collector,,,,Thunderbirds
1991 Happy Holidays Barbie Doll,1991,1871,Special Edition,Happy Holidays® Series,Collector,Signature,,,"Barbie® is elegance personified in this full-length green velvety gown with a beaded bodice of red, green and white sequins and beads. A matching bow tops Barbie® doll's flowing hair. Accessories are red and silvery, nicely complimenting the rest of her merry costume."
1992 Happy Holidays Barbie Doll,1992,1429,Special Edition,Happy Holidays® Series,Collector,Signature,,,"Barbie® is ready for the holiday season, dressed in a luxurious, silver lamé gown. The many layers of her tulle skirt are accented with holographic glitter, and shimmering beads dangle from the bodice. Silvery earrings and a silvery ""jewel""-accented hairband create the finishing touches to this festive ensemble."
1992 Happy Holidays Barbie Doll,1992,1429,Special Edition,Happy Holidays® Series,Collector,Signature,,,"Barbie® is ready for the holiday season, dressed in a luxurious, silver lamé gown. The many layers of her tulle skirt are accented with holographic glitter, and shimmering beads dangle from the bodice. Silvery earrings and a silvery ""jewel""-accented hairband create the finishing touches to this festive ensemble."
,,1865,,,,,,,
1991 Happy Holidays Barbie Doll,1991,1871,Special Edition,Happy Holidays® Series,Collector,Signature,,,"Barbie® is elegance personified in this full-length green velvety gown with a beaded bodice of red, green and white sequins and beads. A matching bow tops Barbie® doll's flowing hair. Accessories are red and silvery, nicely complimenting the rest of her merry costume."
,,1703,,,,,,,
Byron Lars In the Limelight Barbie Doll,2010,17031,Limited Edition,Byron Lars Barbie® Dolls,Collector,Signature,,,"The first doll in Byron Lars' magnificent Runway Collection, In the Limelight™ Barbie® celebrates fresh, contemporary fashion. Barbie® is powerful, feminine, dynamic and glamorous. Her velvety gown of rich chocolate brown is boldly accented with a metallic cape lined in luscious lime. Strappy shoes and a dash of faux fur complete her dramatic look. Dynamic. Sophisticated. Completely unique."
Costume Ball Barbie Doll (blonde),1990,7123,,Costume Ball Barbie,Play line,,,,Her skirt's a mask for you! 
Dance 'N Twirl Barbie Doll,1994,11902,,,Play line,,,,The first Barbie Doll ever to dance by radio control
Barbie Purple Passion Doll,1995,13555,Special Edition,,Play line,,,,Barbie is sparkling on her glamorous night out!
Walmart Anniversary Star Barbie Doll,1992,2282,,,Play line,,,,
Fire Fighter Barbie Doll,1994,13553,Special Edition,,Play line,Career doll,,,
Seasons Greetings Barbie Doll,1994,12384,Limited Edition,,Collector,,,,Barbie wears a beautiful and bright red very Christmassy outfit.
Winter Princess Barbie Doll,1993,10655,Limited Edition,,Play line,,,,
